Date,Value,Type
05/09/2023,3,CO
05/10/2023,5,CO
05/11/2023,2,CO
05/12/2023,2,CO
05/13/2023,5,CO
05/14/2023,7,CO
05/15/2023,5,CO
05/16/2023,2,CO
05/17/2023,3,CO
05/18/2023,5,CO
05/19/2023,2,CO
05/20/2023,2,CO
05/21/2023,3,CO
05/22/2023,3,CO
05/23/2023,3,CO
05/24/2023,3,CO
05/25/2023,6,CO
05/26/2023,2,CO
05/27/2023,2,CO
05/28/2023,2,CO
05/29/2023,3,CO
05/30/2023,5,CO
05/31/2023,3,CO
06/01/2023,3,CO
06/02/2023,6,CO
06/03/2023,7,CO
06/04/2023,6,CO
06/05/2023,3,CO
06/06/2023,6,CO
06/07/2023,6,CO
06/08/2023,6,CO
06/09/2023,5,CO
06/10/2023,9,CO
06/11/2023,3,CO
06/12/2023,3,CO
06/13/2023,5,CO
06/14/2023,2,CO
06/15/2023,2,CO
06/16/2023,3,CO
06/17/2023,5,CO
06/18/2023,9,CO
06/19/2023,2,CO
06/20/2023,3,CO
06/21/2023,3,CO
06/22/2023,3,CO
06/23/2023,3,CO
06/24/2023,6,CO
06/25/2023,8,CO
06/26/2023,2,CO
06/27/2023,3,CO
06/28/2023,7,CO
06/29/2023,8,CO
06/30/2023,9,CO
07/01/2023,6,CO
07/02/2023,3,CO
07/03/2023,3,CO
07/04/2023,5,CO
07/05/2023,7,CO
07/06/2023,5,CO
07/07/2023,5,CO
07/08/2023,6,CO
07/09/2023,2,CO
07/10/2023,3,CO
07/11/2023,6,CO
07/12/2023,7,CO
07/13/2023,3,CO
07/14/2023,2,CO
07/15/2023,3,CO
07/16/2023,3,CO
07/17/2023,6,CO
07/18/2023,9,CO
07/19/2023,3,CO
07/20/2023,7,CO
07/21/2023,2,CO
07/22/2023,3,CO
07/23/2023,5,CO
07/24/2023,5,CO
07/25/2023,7,CO
07/26/2023,7,CO
07/27/2023,6,CO
07/28/2023,5,CO
07/29/2023,5,CO
07/30/2023,5,CO
07/31/2023,3,CO
08/01/2023,3,CO
08/02/2023,3,CO
08/03/2023,2,CO
08/04/2023,3,CO
